Model,MAE,R2,Acc +/-0.25 (%),Acc +/-0.50 (%),Acc +/-1.00 (%),Err <=0.25 (%),"Err (0.25,0.50] (%)","Err (0.50,1.00] (%)",Err >1.00 (%)
Random Forest (v1),0.12139486909770923,0.9991412091326968,86.71107994389902,98.492286115007,99.78962131837307,86.71107994389902,11.781206171107995,1.2973352033660588,0.21037868162692847
Gradient Boosting (v2),0.20099232643466877,0.9980651717979253,69.9859747545582,94.77559607293128,99.71949509116409,69.9859747545582,24.78962131837307,4.943899018232819,0.2805049088359046
