difficulty,pred_v1,pred_v2,abs_err_v1,abs_err_v2,delta_abs_err_v2_minus_v1
12.0,11.95,11.959301053901422,0.05000000000000071,0.04069894609857805,-0.009301053901422662
12.0,12.0,12.091046205788858,0.0,0.09104620578885836,0.09104620578885836
12.0,12.0,12.14783367268747,0.0,0.1478336726874705,0.1478336726874705
12.0,12.12,12.19987046836979,0.11999999999999922,0.19987046836978983,0.07987046836979061
12.0,12.03,12.117533035052707,0.02999999999999936,0.11753303505270729,0.08753303505270793
12.0,12.0,11.859707608460585,0.0,0.14029239153941475,0.14029239153941475
12.0,11.72,11.596098006019687,0.27999999999999936,0.40390199398031257,0.12390199398031321
12.0,12.0,11.886734840420196,0.0,0.11326515957980376,0.11326515957980376
12.0,12.0,11.960584798434805,0.0,0.039415201565194735,0.039415201565194735
12.0,12.01,12.048475633110868,0.009999999999999787,0.048475633110868444,0.03847563311086866
12.0,11.98,12.141504046902309,0.019999999999999574,0.141504046902309,0.12150404690230943
12.0,11.91,11.939664678812937,0.08999999999999986,0.060335321187062974,-0.029664678812936884
12.0,12.02,11.768403932672072,0.019999999999999574,0.2315960673279278,0.21159606732792824
12.0,12.14,12.039832017575465,0.14000000000000057,0.03983201757546517,-0.1001679824245354
12.0,12.0,12.011588388843839,0.0,0.011588388843838615,0.011588388843838615
13.0,13.0,13.166517929722742,0.0,0.16651792972274215,0.16651792972274215
13.0,13.06,13.052953908873326,0.0600000000000005,0.05295390887332552,-0.00704609112667498
13.0,13.15,13.120743927945213,0.15000000000000036,0.12074392794521316,-0.029256072054787197
13.0,13.01,12.70116379413078,0.009999999999999787,0.29883620586922,0.2888362058692202
13.0,13.07,12.923177327242817,0.07000000000000028,0.07682267275718324,0.006822672757182957
13.0,13.0,13.069191497446111,0.0,0.06919149744611097,0.06919149744611097
13.0,13.01,12.942569644121367,0.009999999999999787,0.05743035587863332,0.047430355878633534
13.0,12.86,12.85253811987729,0.14000000000000057,0.14746188012271055,0.007461880122709985
13.0,12.91,12.601634437612189,0.08999999999999986,0.39836556238781107,0.3083655623878112
13.0,12.58,12.86776521395901,0.41999999999999993,0.13223478604098915,-0.2877652139590108
13.0,12.75,12.555505217235147,0.25,0.44449478276485266,0.19449478276485266
13.0,13.0,13.109073653822131,0.0,0.10907365382213108,0.10907365382213108
13.0,13.02,13.08223190637108,0.019999999999999574,0.08223190637107969,0.062231906371080115
13.0,13.12,13.288204979629747,0.11999999999999922,0.28820497962974656,0.16820497962974734
13.0,12.96,12.706190567928234,0.03999999999999915,0.29380943207176635,0.2538094320717672
13.0,12.68,12.504418268777298,0.3200000000000003,0.49558173122270155,0.17558173122270126
13.0,12.66,12.476858159974434,0.33999999999999986,0.5231418400255663,0.18314184002556644
13.0,13.3,13.453818507485815,0.3000000000000007,0.4538185074858152,0.1538185074858145
13.0,13.13,13.179970557529856,0.13000000000000078,0.17997055752985602,0.04997055752985524
13.0,12.92,13.21396958483181,0.08000000000000007,0.21396958483181017,0.1339695848318101
14.0,13.78,13.844083131038818,0.22000000000000064,0.15591686896118162,-0.06408313103881902
14.0,13.9,13.772886099893691,0.09999999999999964,0.22711390010630872,0.12711390010630907
14.0,13.99,13.86878006056635,0.009999999999999787,0.13121993943365062,0.12121993943365084
14.0,14.02,14.093374362531357,0.019999999999999574,0.09337436253135678,0.0733743625313572
14.0,14.06,14.188677079226622,0.0600000000000005,0.1886770792266219,0.12867707922662142
14.0,14.0,13.889370465115533,0.0,0.11062953488446681,0.11062953488446681
14.0,13.91,13.753376081216725,0.08999999999999986,0.24662391878327483,0.15662391878327497
14.0,13.94,13.711087880838601,0.0600000000000005,0.2889121191613988,0.2289121191613983
14.0,14.2,14.087068046620344,0.1999999999999993,0.08706804662034351,-0.11293195337965578
14.0,13.99,14.089957867759516,0.009999999999999787,0.08995786775951586,0.07995786775951608
